data,preco_r$_sc50kg,preco_us$
2022-08-12,129.94,25.17
2022-08-15,129.14,25.36
2022-08-16,129.47,25.16
2022-08-17,129.99,25.13
2022-08-18,128.24,24.79
2022-08-19,127.74,24.68
2022-08-22,128.95,24.98
2022-08-23,129.1,25.31
2022-08-24,128.15,25.08
2022-08-25,128.08,24.99
2022-08-26,127.73,25.17
2022-08-29,128.2,25.51
2022-08-30,126.22,24.7
2022-08-31,125.07,24.04
2022-09-01,123.99,23.68
2022-09-02,122.73,23.71
2022-09-05,125.0,24.26
2022-09-06,124.95,23.84
2022-09-08,124.94,23.99
2022-09-09,125.13,24.3
2022-09-12,123.81,24.32
2022-09-13,123.94,23.89
2022-09-14,124.05,23.95
2022-09-15,124.25,23.7
2022-09-16,123.9,23.57
2022-09-19,124.55,24.12
2022-09-20,124.73,24.17
2022-09-21,124.9,24.17
2022-09-22,124.38,24.33
2022-09-23,124.43,23.7
2022-09-26,124.62,23.12
2022-09-27,124.86,23.21
2022-09-28,125.45,23.46
2022-09-29,124.31,23.03
2022-09-30,124.41,23.13
2022-10-03,124.73,24.09
2022-10-04,125.42,24.23
2022-10-05,125.44,24.24
2022-10-06,125.68,24.15
2022-10-07,125.56,24.03
2022-10-10,125.68,24.25
2022-10-11,125.65,23.84
2022-10-13,126.4,23.94
2022-10-14,126.19,23.68
2022-10-17,127.22,24.03
2022-10-18,127.11,24.16
2022-10-19,127.69,24.22
2022-10-20,128.28,24.56
2022-10-21,128.46,24.95
2022-10-24,127.83,24.17
2022-10-25,128.6,24.2
2022-10-26,128.15,23.85
2022-10-27,128.66,24.28
2022-10-28,128.75,24.23
2022-10-31,128.26,24.79
2022-11-01,129.08,25.25
2022-11-03,128.83,25.2
2022-11-04,129.13,25.65
2022-11-07,128.79,24.98
2022-11-08,129.12,24.98
2022-11-09,129.05,24.92
2022-11-10,129.5,24.0
2022-11-11,130.01,24.34
2022-11-14,130.01,24.34
2022-11-16,129.92,24.13
2022-11-17,131.71,24.25
2022-11-18,131.93,24.59
2022-11-21,131.82,24.82
2022-11-22,134.1,24.92
2022-11-23,134.43,25.03
2022-11-24,135.7,25.55
2022-11-25,135.54,25.05
2022-11-28,136.0,25.34
2022-11-29,135.58,25.62
2022-11-30,136.29,26.16
2022-12-01,136.66,26.26
2022-12-02,138.42,26.51
2022-12-05,138.77,26.28
2022-12-06,139.0,26.38
2022-12-07,139.03,26.68
2022-12-08,140.64,26.98
2022-12-09,140.53,26.82
2022-12-12,139.34,26.17
2022-12-13,139.17,26.18
2022-12-14,139.34,26.19
2022-12-15,139.35,26.18
2022-12-16,139.08,26.25
2022-12-19,139.08,26.25
2022-12-20,139.04,26.7
2022-12-21,140.08,26.95
2022-12-22,141.65,27.36
2022-12-23,141.65,27.36
2022-12-26,140.59,27.0
2022-12-27,136.69,25.87
2022-12-28,136.69,25.87
2022-12-29,136.69,25.87
2023-01-02,136.51,25.47
2023-01-03,136.51,25.47
2023-01-04,135.13,24.78
2023-01-05,135.64,25.3
2023-01-06,134.66,25.68
2023-01-09,135.03,25.7
2023-01-10,132.58,25.49
2023-01-11,135.22,26.07
2023-01-12,134.94,26.49
2023-01-13,134.14,26.33
2023-01-16,134.85,26.18
2023-01-17,134.85,26.18
2023-01-18,133.38,25.85
2023-01-19,134.73,26.03
2023-01-20,133.49,25.66
2023-01-23,133.62,25.72
2023-01-24,132.77,25.8
2023-01-25,132.26,26.06
2023-01-26,132.47,26.12
2023-01-27,132.37,25.9
2023-01-30,130.45,25.52
2023-01-31,131.86,25.97
2023-02-01,131.6,25.85
2023-02-02,131.56,26.12
2023-02-03,129.36,25.17
2023-02-06,129.74,25.06
2023-02-07,129.93,24.99
2023-02-08,130.98,25.24
2023-02-09,132.12,25.07
2023-02-10,133.15,25.49
2023-02-13,133.11,25.69
2023-02-14,134.04,25.77
2023-02-15,134.35,25.76
2023-02-16,132.93,25.47
2023-02-17,131.95,25.56
2023-02-22,131.88,25.51
2023-02-23,132.0,25.72
2023-02-24,133.27,25.6
2023-02-27,132.1,25.43
2023-02-28,133.49,25.57
2023-03-01,131.31,25.27
2023-03-02,130.4,25.06
2023-03-03,130.52,25.11
2023-03-06,130.73,25.31
2023-03-07,131.49,25.33
2023-03-08,130.9,25.45
2023-03-09,131.47,25.61
2023-03-10,133.34,25.57
2023-03-13,133.64,25.37
2023-03-14,130.03,24.74
2023-03-15,132.11,24.95
2023-03-16,132.68,25.31
2023-03-17,132.26,25.08
2023-03-20,132.47,25.27
2023-03-21,132.22,25.22
2023-03-22,132.55,25.4
2023-03-23,131.84,24.93
2023-03-24,131.64,25.08
2023-03-27,131.32,25.2
2023-03-28,132.1,25.57
2023-03-29,133.77,26.02
2023-03-30,132.57,25.99
2023-03-31,134.59,26.55
2023-04-03,137.1,27.02
2023-04-04,136.29,26.79
2023-04-05,135.75,26.86
2023-04-06,139.23,27.52
2023-04-10,138.34,27.29
2023-04-11,137.98,27.56
2023-04-12,141.53,28.63
2023-04-13,141.4,28.7
2023-04-14,139.2,28.3
2023-04-17,141.65,28.7
2023-04-18,142.0,28.54
2023-04-19,142.05,27.98
2023-04-20,142.05,27.98
2023-04-24,142.1,28.2
2023-04-25,143.02,28.21
2023-04-26,144.21,28.54
2023-04-27,147.4,29.58
2023-04-28,147.22,29.51
2023-05-02,146.01,28.93
2023-05-03,146.51,29.35
2023-05-04,149.77,30.0
2023-05-05,150.34,30.41
2023-05-08,149.15,29.75
2023-05-09,149.08,29.89
2023-05-10,148.77,30.05
2023-05-11,148.33,30.01
2023-05-12,148.15,30.07
2023-05-15,147.62,30.16
2023-05-16,149.09,30.19
2023-05-17,149.02,30.17
2023-05-18,150.38,30.26
2023-05-19,149.56,29.91
2023-05-22,149.76,30.14
2023-05-23,148.95,29.96
2023-05-24,149.23,30.14
2023-05-25,148.48,29.47
2023-05-26,149.01,29.86
2023-05-29,148.62,29.65
2023-05-30,149.55,29.67
2023-05-31,148.73,29.28
2023-06-01,150.84,30.09
2023-06-02,149.66,30.19
2023-06-05,148.61,30.16
2023-06-06,147.83,30.09
2023-06-07,148.34,30.12
2023-06-09,146.08,29.96
2023-06-12,147.91,30.4
2023-06-13,145.81,29.98
2023-06-14,148.02,30.66
2023-06-15,145.15,30.21
2023-06-16,145.08,30.11
2023-06-19,142.95,29.93
2023-06-20,141.79,29.59
2023-06-21,143.45,30.07
2023-06-22,143.66,30.07
2023-06-23,143.37,29.99
2023-06-26,143.45,30.1
2023-06-27,143.06,29.83
2023-06-28,140.95,29.1
2023-06-29,138.96,28.62
2023-06-30,139.89,29.19
2023-07-03,140.14,29.17
2023-07-04,139.26,28.8
2023-07-05,141.57,29.22
2023-07-06,139.82,28.38
2023-07-07,141.5,29.12
2023-07-10,139.04,28.46
2023-07-11,140.01,28.82
2023-07-12,140.09,29.08
2023-07-13,138.08,28.83
2023-07-14,136.31,28.43
2023-07-17,135.89,28.22
2023-07-18,134.72,28.02
2023-07-19,135.17,28.25
2023-07-20,133.73,27.85
2023-07-21,134.34,28.13
2023-07-24,135.82,28.68
2023-07-25,134.83,28.37
2023-07-26,134.71,28.47
2023-07-27,133.23,28.09
2023-07-28,134.55,28.44
2023-07-31,134.16,28.36
2023-08-01,133.76,27.92
2023-08-02,133.75,27.84
2023-08-03,134.12,27.43
2023-08-04,135.52,27.83
2023-08-07,134.67,27.51
2023-08-08,133.56,27.27
2023-08-09,133.44,27.19
2023-08-10,134.6,27.58
2023-08-11,132.72,27.07
2023-08-14,132.42,26.64
2023-08-15,132.59,26.58
2023-08-16,133.07,26.69
2023-08-17,133.5,26.8
2023-08-18,133.5,26.86
2023-08-21,135.51,27.22
2023-08-22,135.06,27.36
2023-08-23,135.7,27.96
2023-08-24,135.81,27.87
2023-08-25,135.42,27.8
2023-08-28,140.14,28.74
2023-08-29,140.69,28.98
2023-08-30,139.79,28.73
2023-08-31,141.94,28.67
2023-09-01,144.76,29.32
2023-09-04,148.32,30.06
2023-09-05,146.85,29.49
2023-09-06,146.5,29.38
2023-09-08,146.51,29.39
2023-09-11,145.46,29.47
2023-09-12,145.89,29.45
2023-09-13,148.84,30.28
2023-09-14,149.27,30.62
2023-09-15,151.85,31.18
2023-09-18,151.51,31.22
2023-09-19,151.83,31.14
2023-09-20,156.05,32.04
2023-09-21,154.87,31.41
2023-09-22,154.44,31.33
2023-09-25,158.94,31.97
2023-09-26,155.2,31.1
2023-09-27,155.56,30.79
2023-09-28,155.51,30.87
2023-09-29,155.74,30.97
2023-10-02,155.4,30.67
2023-10-03,156.8,30.42
2023-10-04,158.16,30.71
2023-10-05,159.32,30.79
2023-10-06,158.25,30.67
2023-10-09,156.92,30.56
2023-10-10,156.87,30.98
