data,esp_long,esp_short,esp_net,com_long,com_short,com_net,idx_long,idx_short,idx_net,open_interest,produto,fonte
2021-11-09,276540,102705,173835,301300,666089,-364789,266782,75829,190953,1076071,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-11-16,287221,97627,189594,293404,674770,-381366,268232,76461,191771,1074429,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-11-23,301840,95016,206824,303184,704723,-401539,271538,76823,194715,1099101,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-11-30,253016,112224,140792,317101,650384,-333283,264033,71543,192490,1049970,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-12-07,236458,106275,130183,329879,644350,-314471,256466,72178,184288,1033296,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-12-14,253786,89086,164700,322533,669647,-347114,262773,80361,182412,1049772,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-12-21,227037,103127,123910,324346,633011,-308665,261586,76831,184755,1016420,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-12-28,228031,100953,127078,325208,638993,-313785,259505,72797,186708,1018450,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-01-04,218603,109370,109233,333625,629688,-296063,262278,75448,186830,1023556,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-01-11,200621,149763,50858,363710,593846,-230136,259306,80028,179278,1044324,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-01-18,197330,135622,61708,366032,600235,-234203,256263,83767,172496,1035833,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-01-25,196408,113347,83061,354959,614135,-259176,259179,83063,176116,1023309,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-02-01,197303,134891,62412,383865,616059,-232194,248120,78337,169783,1050724,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-02-08,202179,157310,44869,407531,624240,-216709,252715,80875,171840,1083479,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-02-15,202663,158996,43667,330790,567657,-236867,264331,71131,193200,972840,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-02-22,205158,154870,50288,319846,563664,-243818,265464,71934,193530,962025,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-03-01,202283,145291,56992,289622,542672,-253050,268890,72831,196059,939038,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-03-08,248390,109078,139312,289685,631824,-342139,265090,62262,202828,996004,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-03-15,197180,109022,88158,287804,614946,-327142,297517,58533,238984,951537,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-03-22,200031,105130,94901,289472,620968,-331496,297053,60459,236594,958304,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-03-29,207457,109901,97556,283404,618269,-334865,295901,58593,237308,961567,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-04-05,240185,107932,132253,280318,655805,-375487,304862,61627,243235,1016384,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-04-12,288792,101322,187470,288023,727283,-439260,319596,67807,251789,1098860,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-04-19,277160,102152,175008,268988,701078,-432090,317274,60191,257083,1039651,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-04-26,240290,101153,139137,243665,636951,-393286,315647,61499,254148,974124,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-05-03,221497,110924,110573,238076,601131,-363055,314336,61853,252483,952414,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-05-10,207287,115051,92236,246229,583148,-336919,301405,56723,244682,936084,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-05-17,229187,100000,129187,265207,636857,-371650,300932,58468,242464,991720,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2022-05-24,229368,94810,134558,266522,645070,-378548,303763,59774,243989,1009888,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
