data,vencimento,ajuste,volume,contratos_aberto,fonte_cid
2024-12-20,ETHc1,2750.5,28.0,,964525
2024-12-19,ETHc1,2743.5,52.0,,964525
2024-12-18,ETHc1,2746.0,86.0,,964525
2024-12-17,ETHc1,2743.5,4.0,,964525
2024-12-16,ETHc1,2743.5,94.0,,964525
2024-12-13,ETHc1,2742.5,63.0,,964525
2024-12-12,ETHc1,2744.0,33.0,,964525
2024-12-11,ETHc1,2744.0,154.0,,964525
2024-12-10,ETHc1,2736.5,152.0,,964525
2024-12-09,ETHc1,2736.5,62.0,,964525
2024-12-06,ETHc1,2736.5,76.0,,964525
2024-12-05,ETHc1,2736.5,98.0,,964525
2024-12-04,ETHc1,2738.0,41.0,,964525
2024-12-03,ETHc1,2736.0,116.0,,964525
2024-12-02,ETHc1,2740.0,171.0,,964525
2024-11-29,ETHc1,2726.5,,,964525
2024-11-28,ETHc1,2731.0,11.0,,964525
2024-11-27,ETHc1,2715.5,84.0,,964525
2024-11-26,ETHc1,2734.0,25.0,,964525
2024-11-25,ETHc1,2734.0,40.0,,964525
2024-11-22,ETHc1,2734.0,90.0,,964525
2024-11-21,ETHc1,2743.0,87.0,,964525
2024-11-19,ETHc1,2730.0,1.0,,964525
2024-11-18,ETHc1,2730.0,14.0,,964525
2024-11-14,ETHc1,2730.0,26.0,,964525
2024-11-13,ETHc1,2707.5,,,964525
2024-11-12,ETHc1,2720.5,136.0,,964525
2024-11-11,ETHc1,2720.5,42.0,,964525
2024-11-08,ETHc1,2708.5,,,964525
2024-11-07,ETHc1,2711.0,83.0,,964525
2024-11-06,ETHc1,2711.0,62.0,,964525
2024-11-05,ETHc1,2711.0,29.0,,964525
2024-11-04,ETHc1,2711.0,,,964525
2024-11-01,ETHc1,2711.0,,,964525
2024-10-30,ETHc1,2704.0,,,964525
2024-10-29,ETHc1,2704.5,2.0,,964525
2024-10-28,ETHc1,2705.5,1.0,,964525
2024-10-25,ETHc1,2705.5,42.0,,964525
2024-10-24,ETHc1,2701.0,18.0,,964525
2024-10-23,ETHc1,2676.0,2.0,,964525
2024-10-22,ETHc1,2676.0,,,964525
2024-10-21,ETHc1,2676.0,8.0,,964525
2024-10-18,ETHc1,2676.0,10.0,,964525
2024-10-17,ETHc1,2676.0,5.0,,964525
2024-10-16,ETHc1,2676.0,6.0,,964525
2024-10-15,ETHc1,2676.0,,,964525
2024-10-14,ETHc1,2676.0,,,964525
2024-10-11,ETHc1,2661.5,41.0,,964525
2024-10-10,ETHc1,2661.5,,,964525
2024-10-09,ETHc1,2655.0,28.0,,964525
2024-10-08,ETHc1,2633.5,50.0,,964525
2024-10-07,ETHc1,2619.0,30.0,,964525
2024-10-04,ETHc1,2585.0,38.0,,964525
2024-10-03,ETHc1,2585.0,128.0,,964525
2024-10-02,ETHc1,2547.5,60.0,,964525
2024-10-01,ETHc1,2535.5,32.0,,964525
2024-09-30,ETHc1,2600.5,,,964525
2024-09-27,ETHc1,2597.5,,,964525
2024-09-26,ETHc1,2617.0,52.0,,964525
2024-09-25,ETHc1,2628.0,20.0,,964525
2024-09-24,ETHc1,2630.0,68.0,,964525
2024-09-23,ETHc1,2630.0,1.0,,964525
2024-09-20,ETHc1,2561.0,2.0,,964525
2024-09-19,ETHc1,2561.0,23.0,,964525
2024-09-18,ETHc1,2518.5,14.0,,964525
2024-09-17,ETHc1,2518.5,1.0,,964525
2024-09-16,ETHc1,2518.5,60.0,,964525
2024-09-13,ETHc1,2518.5,16.0,,964525
2024-09-12,ETHc1,2518.5,71.0,,964525
2024-09-11,ETHc1,2518.5,37.0,,964525
2024-09-10,ETHc1,2534.5,85.0,,964525
2024-09-09,ETHc1,2550.0,22.0,,964525
2024-09-06,ETHc1,2611.5,5.0,,964525
2024-09-05,ETHc1,2611.5,,,964525
2024-09-04,ETHc1,2611.5,21.0,,964525
2024-09-03,ETHc1,2646.0,27.0,,964525
2024-09-02,ETHc1,2668.5,5.0,,964525
2024-08-30,ETHc1,2677.0,,,964525
2024-08-29,ETHc1,2685.0,1.0,,964525
2024-08-28,ETHc1,2649.0,26.0,,964525
2024-08-27,ETHc1,2624.0,2.0,,964525
2024-08-26,ETHc1,2624.0,,,964525
2024-08-23,ETHc1,2616.5,,,964525
2024-08-22,ETHc1,2616.5,3.0,,964525
2024-08-21,ETHc1,2638.0,46.0,,964525
2024-08-20,ETHc1,2645.5,41.0,,964525
2024-08-19,ETHc1,2672.0,1.0,,964525
2024-08-16,ETHc1,2672.0,167.0,,964525
2024-08-15,ETHc1,2669.5,11.0,,964525
2024-08-14,ETHc1,2709.5,10.0,,964525
2024-08-13,ETHc1,2723.5,1.0,,964525
2024-08-12,ETHc1,2723.5,,,964525
2024-08-09,ETHc1,2723.5,8.0,,964525
2024-08-08,ETHc1,2723.5,1.0,,964525
2024-08-07,ETHc1,2723.5,51.0,,964525
2024-08-06,ETHc1,2724.0,1.0,,964525
2024-08-05,ETHc1,2724.0,218.0,,964525
2024-08-02,ETHc1,2724.0,1.0,,964525
2024-08-01,ETHc1,2724.0,2.0,,964525
2024-07-31,ETHc1,2692.5,,,964525
2024-07-30,ETHc1,2691.0,,,964525
2024-07-29,ETHc1,2691.0,,,964525
2024-07-26,ETHc1,2691.0,10.0,,964525
2024-07-25,ETHc1,2670.0,78.0,,964525
2024-07-24,ETHc1,2664.0,282.0,,964525
2024-07-23,ETHc1,2664.0,80.0,,964525
2024-07-22,ETHc1,2703.0,25.0,,964525
2024-07-19,ETHc1,2715.0,50.0,,964525
2024-07-18,ETHc1,2717.5,48.0,,964525
2024-07-17,ETHc1,2714.0,63.0,,964525
2024-07-16,ETHc1,2740.0,126.0,,964525
2024-07-15,ETHc1,2740.0,40.0,,964525
2024-07-12,ETHc1,2740.0,117.0,,964525
2024-07-11,ETHc1,2751.5,48.0,,964525
2024-07-10,ETHc1,2734.0,10.0,,964525
2024-07-09,ETHc1,2730.5,152.0,,964525
2024-07-08,ETHc1,2699.0,161.0,,964525
2024-07-05,ETHc1,2584.0,47.0,,964525
2024-07-04,ETHc1,2557.5,8.0,,964525
2024-07-03,ETHc1,2557.5,110.0,,964525
2024-07-02,ETHc1,2557.5,40.0,,964525
2024-07-01,ETHc1,2557.5,15.0,,964525
2024-06-28,ETHc1,2564.0,,,964525
2024-06-27,ETHc1,2561.0,,,964525
2024-06-26,ETHc1,2561.0,,,964525
2024-06-25,ETHc1,2539.5,43.0,,964525
2024-06-24,ETHc1,2534.5,,,964525
2024-06-21,ETHc1,2534.5,130.0,,964525
2024-06-20,ETHc1,2534.5,5.0,,964525
2024-06-19,ETHc1,2485.0,43.0,,964525
2024-06-18,ETHc1,2446.5,112.0,,964525
2024-06-17,ETHc1,2434.0,5.0,,964525
2024-06-14,ETHc1,2434.0,120.0,,964525
2024-06-13,ETHc1,2434.0,30.0,,964525
2024-06-12,ETHc1,2424.0,101.0,,964525
2024-06-11,ETHc1,2424.0,240.0,,964525
